1 192 192
4.540017860e-01 5.459982134e-01 6.187985363e+01 5.268021113e+01 
5.238084902e-01 4.761915086e-01 5.519535197e+01 5.995705034e+01 
5.910480453e-01 4.089519529e-01 5.008239280e+01 6.829200224e+01 
6.522447685e-01 3.477552289e-01 4.642724207e+01 7.687619620e+01 
7.051681942e-01 2.948318023e-01 4.385194313e+01 8.488558247e+01 
7.489591819e-01 2.510408143e-01 4.193661280e+01 9.172844970e+01 
7.838167846e-01 2.161832113e-01 4.037653179e+01 9.713988926e+01 
8.105298875e-01 1.894701075e-01 3.902731554e+01 1.011332937e+02 
8.300723694e-01 1.699276245e-01 3.787290135e+01 1.038873760e+02 
8.433411187e-01 1.566588746e-01 3.696797403e+01 1.056361986e+02 
8.510217175e-01 1.489782758e-01 3.638634548e+01 1.065906898e+02 
8.535349271e-01 1.464650665e-01 3.618539900e+01 1.068923852e+02 
8.510217316e-01 1.489782619e-01 3.638634438e+01 1.065906915e+02 
8.433411476e-01 1.566588459e-01 3.696797193e+01 1.056362022e+02 
8.300724147e-01 1.699275795e-01 3.787289845e+01 1.038873821e+02 
8.105299514e-01 1.894700439e-01 3.902731204e+01 1.011333029e+02 
7.838168697e-01 2.161831265e-01 4.037652777e+01 9.713990221e+01 
7.489592909e-01 2.510407057e-01 4.193660806e+01 9.172846670e+01 
7.051683286e-01 2.948316684e-01 4.385193706e+01 8.488560322e+01 
6.522449276e-01 3.477550703e-01 4.642723361e+01 7.687621950e+01 
5.910482249e-01 4.089517738e-01 5.008238076e+01 6.829202606e+01 
5.238086822e-01 4.761913172e-01 5.519533557e+01 5.995707228e+01 
4.540019795e-01 5.459980206e-01 6.187983310e+01 5.268022924e+01 
3.856706907e-01 6.143293100e-01 6.983953575e+01 4.697367407e+01 
3.224526752e-01 6.775473262e-01 7.842603412e+01 4.291656925e+01 
2.668099160e-01 7.331900859e-01 8.687550597e+01 4.023748918e+01 
2.197870646e-01 7.802129372e-01 9.456302217e+01 3.852043506e+01 
1.812520180e-01 8.187479831e-01 1.011347681e+02 3.738517165e+01 
1.503470327e-01 8.496529676e-01 1.064992346e+02 3.656864119e+01 
1.259080895e-01 8.740919103e-01 1.107422615e+02 3.592387941e+01 
1.067470100e-01 8.932529894e-01 1.140344994e+02 3.538390142e+01 
9.179708130e-02 9.082029175e-01 1.165652428e+02 3.492465915e+01 
8.016464798e-02 9.198353503e-01 1.185067921e+02 3.453972179e+01 
7.112955868e-02 9.288704393e-01 1.200008168e+02 3.422672864e+01 
6.412381215e-02 9.358761857e-01 1.211570084e+02 3.398177091e+01 
5.870453224e-02 9.412954655e-01 1.220571735e+02 3.379808001e+01 
5.452858709e-02 9.454714105e-01 1.227609134e+02 3.366663086e+01 
5.133136378e-02 9.486686338e-01 1.233110615e+02 3.357733434e+01 
4.890999104e-02 9.510900065e-01 1.237381832e+02 3.352018150e+01 
4.711047372e-02 9.528895238e-01 1.240639998e+02 3.348609457e+01 
4.581802005e-02 9.541819776e-01 1.243038409e+02 3.346744500e+01 
4.494991430e-02 9.550500834e-01 1.244683123e+02 3.345829517e+01 
4.445043181e-02 9.555495661e-01 1.245643689e+02 3.345445532e+01 
4.428743719e-02 9.557125609e-01 1.245959606e+02 3.345344806e+01 
4.445043095e-02 9.555495673e-01 1.245643691e+02 3.345445531e+01 
4.494991251e-02 9.550500860e-01 1.244683126e+02 3.345829516e+01 
4.581801722e-02 9.541819816e-01 1.243038415e+02 3.346744496e+01 
4.711046967e-02 9.528895294e-01 1.240640005e+02 3.348609450e+01 
4.890998550e-02 9.510900139e-01 1.237381842e+02 3.352018138e+01 
5.133135640e-02 9.486686434e-01 1.233110628e+02 3.357733414e+01 
5.452857740e-02 9.454714229e-01 1.227609150e+02 3.366663056e+01 
5.870451962e-02 9.412954811e-01 1.220571756e+02 3.379807958e+01 
6.412379580e-02 9.358762054e-01 1.211570111e+02 3.398177033e+01 
7.112953756e-02 9.288704642e-01 1.200008203e+02 3.422672788e+01 
8.016462077e-02 9.198353817e-01 1.185067967e+02 3.453972084e+01 
9.179704630e-02 9.082029570e-01 1.165652488e+02 3.492465800e+01 
1.067469651e-01 8.932530391e-01 1.140345071e+02 3.538390007e+01 
1.259080322e-01 8.740919729e-01 1.107422715e+02 3.592387783e+01 
1.503469599e-01 8.496530460e-01 1.064992474e+02 3.656863926e+01 
1.812519265e-01 8.187480803e-01 1.011347840e+02 3.738516912e+01 
2.197869518e-01 7.802130560e-01 9.456304130e+01 3.852043138e+01 
2.668097807e-01 7.331902276e-01 8.687552770e+01 4.023748350e+01 
3.224525186e-01 6.775474895e-01 7.842605708e+01 4.291656046e+01 
3.856705177e-01 6.143294900e-01 6.983955800e+01 4.697366118e+01 
4.540017987e-01 5.459982085e-01 6.187985263e+01 5.268021196e+01 
5.238085042e-01 4.761915023e-01 5.519535108e+01 5.995705147e+01 
5.910480603e-01 4.089519457e-01 5.008239207e+01 6.829200361e+01 
6.522447840e-01 3.477552212e-01 4.642724149e+01 7.687619770e+01 
