1 192 192
6.129680213e-02 9.387031977e-01 9.648300381e+01 8.742364318e+00 
5.965131284e-02 9.403486869e-01 9.675693994e+01 8.687202598e+00 
5.814294236e-02 9.418570573e-01 9.700969339e+01 8.638281957e+00 
5.676105678e-02 9.432389429e-01 9.724297249e+01 8.595183941e+00 
5.549591445e-02 9.445040853e-01 9.745829986e+01 8.557482829e+00 
5.433859672e-02 9.456614032e-01 9.765703145e+01 8.524750859e+00 
5.328094455e-02 9.467190556e-01 9.784037405e+01 8.496563001e+00 
5.231550052e-02 9.476844999e-01 9.800940112e+01 8.472501230e+00 
5.143545592e-02 9.485645448e-01 9.816506712e+01 8.452158272e+00 
5.063460256e-02 9.493653985e-01 9.830822038e+01 8.435140826e+00 
4.990728893e-02 9.500927124e-01 9.843961456e+01 8.421072258e+00 
4.924838043e-02 9.507516212e-01 9.855991884e+01 8.409594810e+00 
4.865322330e-02 9.513467785e-01 9.866972682e+01 8.400371352e+00 
4.811761209e-02 9.518823898e-01 9.876956444e+01 8.393086722e+00 
4.763776020e-02 9.523622417e-01 9.885989679e+01 8.387448700e+00 
4.721027358e-02 9.527897283e-01 9.894113406e+01 8.383188657e+00 
4.683212706e-02 9.531678747e-01 9.901363664e+01 8.380061951e+00 
4.650064335e-02 9.534993582e-01 9.907771948e+01 8.377848085e+00 
4.621347449e-02 9.537865268e-01 9.913365584e+01 8.376350708e+00 
4.596858553e-02 9.540314156e-01 9.918168037e+01 8.375397478e+00 
4.576424048e-02 9.542357604e-01 9.922199171e+01 8.374839842e+00 
4.559899026e-02 9.544010104e-01 9.925475465e+01 8.374552765e+00 
4.547166271e-02 9.545283378e-01 9.928010181e+01 8.374434440e+00 
4.538135442e-02 9.546186460e-01 9.929813503e+01 8.374406018e+00 
4.532742456e-02 9.546725757e-01 9.930892634e+01 8.374411364e+00 
4.530949037e-02 9.546905099e-01 9.931251868e+01 8.374416875e+00 
4.532742457e-02 9.546725758e-01 9.930892633e+01 8.374411364e+00 
4.538135444e-02 9.546186460e-01 9.929813503e+01 8.374406017e+00 
